sent_date,sent_time_cet
2025-07-29,23:10:22
2025-07-30,23:00:18
2025-07-31,23:00:14
2025-08-01,23:00:18
2025-08-02,23:00:18
2025-08-03,23:00:15
2025-08-04,23:00:19
2025-08-05,23:00:17
2025-08-06,23:00:25
2025-08-07,23:00:15
2025-08-08,23:00:13
2025-08-09,23:00:19
2025-08-10,23:00:14
2025-08-11,23:00:18
2025-08-12,23:00:13
2025-08-13,23:00:17
2025-08-14,23:00:20
2025-08-15,23:00:17
2025-08-16,23:44:14
2025-08-17,23:44:15
2025-08-18,23:44:16
2025-08-19,23:44:12
2025-08-20,23:44:22
2025-08-21,23:44:17
2025-08-22,23:44:16
2025-08-23,23:44:14
2025-08-24,23:44:16
