date_cet,time_cet,target_name,status,current_count
2026-08-25,23:30:24,Mulhouse,sent,0
2026-08-26,23:30:21,Mulhouse,sent,0
2026-08-27,23:30:24,Mulhouse,sent,0
2026-08-28,23:30:19,Mulhouse,sent,0
2026-08-29,23:30:19,Mulhouse,sent,0
2026-08-30,23:30:24,Mulhouse,sent,0
2026-08-31,23:30:26,Mulhouse,sent,0
2026-09-01,23:30:20,Mulhouse,sent,0
2026-09-02,23:30:25,Mulhouse,sent,0
2026-09-03,23:30:32,Mulhouse,sent,0
2026-09-04,23:30:20,Mulhouse,sent,0
2026-09-05,23:30:24,Mulhouse,sent,0
2026-09-06,23:30:20,Mulhouse,sent,0
2026-09-07,23:30:17,Mulhouse,sent,0
2026-09-08,23:30:23,Mulhouse,sent,0
2026-09-09,23:30:24,Mulhouse,sent,0
2026-09-10,23:30:19,Mulhouse,sent,0
2026-09-11,23:30:22,Mulhouse,sent,0
