timestamp_cet,event,residence_id,name,housing_type,price_text,price_min_eur,price_max_eur,surface_text,surface_min_m2,surface_max_m2,details,address,link,source_url,first_seen_cet,last_seen_cet
2026-08-27T13:27:23+01:00,added,1d4a8a6dc32a3e39,CITE UNIVERSITAIRE ROBERTSAU,Individuel,197 €,197,,"9,75 m²",9.75,,"9,75 m² | Individuel | 1 lit simple | Frigo",14 route de la Wantzenau 67085 STRASBOURG CEDEX,https://trouverunlogement.lescrous.fr/tools/47/accommodations/527,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg | https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.7011138_48.635168_7.803662_48.5981431&locationName=Schiltigheim+%2867300%29,2026-08-27T13:27:23+01:00,2026-08-27T13:27:23+01:00
2026-08-27T13:30:18+01:00,removed,1d4a8a6dc32a3e39,CITE UNIVERSITAIRE ROBERTSAU,Individuel,197 €,197,,"9,75 m²",9.75,,"9,75 m² | Individuel | 1 lit simple | Frigo",14 route de la Wantzenau 67085 STRASBOURG CEDEX,https://trouverunlogement.lescrous.fr/tools/47/accommodations/527,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg | https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.7011138_48.635168_7.803662_48.5981431&locationName=Schiltigheim+%2867300%29,2026-08-27T13:27:23+01:00,2026-08-27T13:27:23+01:00
2026-08-31T13:24:16+01:00,added,1d4a8a6dc32a3e39,CITE UNIVERSITAIRE ROBERTSAU,Individuel,197 €,197,,"9,75 m²",9.75,,"9,75 m² | Individuel | 1 lit simple | Frigo",14 route de la Wantzenau 67085 STRASBOURG CEDEX,https://trouverunlogement.lescrous.fr/tools/47/accommodations/527,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg | https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.7011138_48.635168_7.803662_48.5981431&locationName=Schiltigheim+%2867300%29,2026-08-31T13:24:16+01:00,2026-08-31T13:24:16+01:00
2026-08-31T13:27:17+01:00,removed,1d4a8a6dc32a3e39,CITE UNIVERSITAIRE ROBERTSAU,Individuel,197 €,197,,"9,75 m²",9.75,,"9,75 m² | Individuel | 1 lit simple | Frigo",14 route de la Wantzenau 67085 STRASBOURG CEDEX,https://trouverunlogement.lescrous.fr/tools/47/accommodations/527,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg | https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.7011138_48.635168_7.803662_48.5981431&locationName=Schiltigheim+%2867300%29,2026-08-31T13:24:16+01:00,2026-08-31T13:24:16+01:00
2026-09-10T13:30:18+01:00,added,a14d035ae6cb98a6,RESIDENCE LES FLAMBOYANTS,Individuel,486 €,486,,24 m²,24,,"24 m² | Individuel | 1 lit simple | WC, Douche, Frigo",8 rue Jean-Henri Schnitzler 67000 STRASBOURG,https://trouverunlogement.lescrous.fr/tools/47/accommodations/519,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg,2026-09-10T13:30:18+01:00,2026-09-10T13:30:18+01:00
2026-09-10T13:33:20+01:00,removed,a14d035ae6cb98a6,RESIDENCE LES FLAMBOYANTS,Individuel,486 €,486,,24 m²,24,,"24 m² | Individuel | 1 lit simple | WC, Douche, Frigo",8 rue Jean-Henri Schnitzler 67000 STRASBOURG,https://trouverunlogement.lescrous.fr/tools/47/accommodations/519,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg,2026-09-10T13:30:18+01:00,2026-09-10T13:30:18+01:00
2026-09-14T13:30:18+01:00,added,f38138ec73ae2b07,RESIDENCE LES CATTLEYAS,Individuel,445 €,445,,18 m²,18,,"18 m² | Individuel | 1 lit simple | WC, Douche, Evier + plaque, Frigo",2 rue du Vieil Armand 67100 STRASBOURG,https://trouverunlogement.lescrous.fr/tools/47/accommodations/511,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg,2026-09-14T13:30:18+01:00,2026-09-14T13:30:18+01:00
2026-09-14T13:33:27+01:00,removed,f38138ec73ae2b07,RESIDENCE LES CATTLEYAS,Individuel,445 €,445,,18 m²,18,,"18 m² | Individuel | 1 lit simple | WC, Douche, Evier + plaque, Frigo",2 rue du Vieil Armand 67100 STRASBOURG,https://trouverunlogement.lescrous.fr/tools/47/accommodations/511,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg,2026-09-14T13:30:18+01:00,2026-09-14T13:30:18+01:00
2026-09-17T13:24:15+01:00,added,c693fe905a754c99,CITE UNIVERSITAIRE ALFRED WEISS 1,Individuel,282 €,282,,9 m²,9,,"9 m² | Individuel | 1 lit simple | WC, Douche, Frigo",7 quai du Bruckhof 67100 STRASBOURG,https://trouverunlogement.lescrous.fr/tools/47/accommodations/437,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg,2026-09-17T13:24:15+01:00,2026-09-17T13:24:15+01:00
2026-09-17T13:24:15+01:00,added,daaa85e0ed629e95,CITE UNIVERSITAIRE DE LA SOMME,Individuel,320 €,320,,"de 9 à 9,5 m²",9,9.5,"de 9 à 9,5 m² | Individuel | 1 lit simple | WC, Douche, Frigo",13 rue de la Somme 67000 STRASBOURG,https://trouverunlogement.lescrous.fr/tools/47/accommodations/2981,https://trouverunlogement.lescrous.fr/tools/47/search?bounds=7.6881371_48.6461896_7.8360646_48.491861&locationName=Strasbourg,2026-09-17T13:24:15+01:00,2026-09-17T13:24:15+01:00
